time,x,y,longitude,latitude,cerra_sde,unit
2019-09-22,93500,1342000,9.746211676993724,61.96414312400681,0.01,9
2019-09-22,99000,1342000,9.84888933277268,61.96298301071997,0.0058333334,10
2019-09-22,104500,1342000,9.951560018849955,61.96175664053426,0.0,11
2019-09-22,110000,1342000,10.054223349046335,61.96046401932794,0.0,12
2019-09-22,115500,1342000,10.156878937348818,61.95910515329606,0.0,13
2019-09-22,99000,1347500,9.85143141029024,62.01123913436032,0.0041666664,14
2019-09-22,104500,1347500,9.954243135444663,62.01001133557868,0.0,15
2019-09-23,99000,1325500,9.84130480426889,61.8181540769436,0.0,0
2019-09-23,104500,1331000,9.946215823184616,61.86521691470476,0.0,1
2019-09-23,110000,1331000,10.04859829242372,61.86392729619409,0.0,2
2019-09-23,115500,1331000,10.15097308316179,61.86257158655699,0.0,3
2019-09-23,93500,1336500,9.74381725071918,61.915875526948106,0.0,4
2019-09-23,104500,1336500,9.948884258163838,61.913491818206985,0.0,5
2019-09-23,110000,1336500,10.051406965665244,61.912200699791455,0.0,6
2019-09-23,115500,1336500,10.15392196305603,61.91084341347358,0.0,7
2019-09-23,88000,1342000,9.643527437849816,61.9652369748336,0.004583333,8
2019-09-23,93500,1342000,9.746211676993724,61.96414312400681,0.00375,9
2019-09-23,99000,1342000,9.84888933277268,61.96298301071997,0.0,10
2019-09-23,104500,1342000,9.951560018849955,61.96175664053426,0.0,11
2019-09-23,110000,1342000,10.054223349046335,61.96046401932794,0.0,12
2019-09-23,115500,1342000,10.156878937348818,61.95910515329606,0.0,13
2019-09-23,99000,1347500,9.85143141029024,62.01123913436032,0.0,14
2019-09-23,104500,1347500,9.954243135444663,62.01001133557868,0.0,15
2019-09-24,99000,1325500,9.84130480426889,61.8181540769436,0.0,0
2019-09-24,104500,1331000,9.946215823184616,61.86521691470476,0.0,1
2019-09-24,110000,1331000,10.04859829242372,61.86392729619409,0.0,2
2019-09-24,115500,1331000,10.15097308316179,61.86257158655699,0.0,3
2019-09-24,93500,1336500,9.74381725071918,61.915875526948106,0.0,4
2019-09-24,104500,1336500,9.948884258163838,61.913491818206985,0.0,5
2019-09-24,110000,1336500,10.051406965665244,61.912200699791455,0.0,6
2019-09-24,115500,1336500,10.15392196305603,61.91084341347358,0.0,7
2019-09-24,88000,1342000,9.643527437849816,61.9652369748336,0.0,8
2019-09-24,93500,1342000,9.746211676993724,61.96414312400681,0.0,9
2019-09-24,99000,1342000,9.84888933277268,61.96298301071997,0.0,10
2019-09-24,104500,1342000,9.951560018849955,61.96175664053426,0.0,11
2019-09-24,110000,1342000,10.054223349046335,61.96046401932794,0.0,12
2019-09-24,115500,1342000,10.156878937348818,61.95910515329606,0.0,13
2019-09-24,99000,1347500,9.85143141029024,62.01123913436032,0.0,14
2019-09-24,104500,1347500,9.954243135444663,62.01001133557868,0.0,15
2019-09-25,99000,1325500,9.84130480426889,61.8181540769436,0.0,0
2019-09-25,104500,1331000,9.946215823184616,61.86521691470476,0.0,1
2019-09-25,110000,1331000,10.04859829242372,61.86392729619409,0.0,2
2019-09-25,115500,1331000,10.15097308316179,61.86257158655699,0.0,3
2019-09-25,93500,1336500,9.74381725071918,61.915875526948106,0.0,4
2019-09-25,104500,1336500,9.948884258163838,61.913491818206985,0.0,5
2019-09-25,110000,1336500,10.051406965665244,61.912200699791455,0.0,6
2019-09-25,115500,1336500,10.15392196305603,61.91084341347358,0.0,7
2019-09-25,88000,1342000,9.643527437849816,61.9652369748336,0.0,8
2019-09-25,93500,1342000,9.746211676993724,61.96414312400681,0.0,9
2019-09-25,99000,1342000,9.84888933277268,61.96298301071997,0.0,10
2019-09-25,104500,1342000,9.951560018849955,61.96175664053426,0.0,11
2019-09-25,110000,1342000,10.054223349046335,61.96046401932794,0.0,12
2019-09-25,115500,1342000,10.156878937348818,61.95910515329606,0.0,13
2019-09-25,99000,1347500,9.85143141029024,62.01123913436032,0.0,14
2019-09-25,104500,1347500,9.954243135444663,62.01001133557868,0.0,15
2019-09-26,99000,1325500,9.84130480426889,61.8181540769436,0.0,0
2019-09-26,104500,1331000,9.946215823184616,61.86521691470476,0.0,1
2019-09-26,110000,1331000,10.04859829242372,61.86392729619409,0.0,2
2019-09-26,115500,1331000,10.15097308316179,61.86257158655699,0.0,3
2019-09-26,93500,1336500,9.74381725071918,61.915875526948106,0.0,4
2019-09-26,104500,1336500,9.948884258163838,61.913491818206985,0.0,5
2019-09-26,110000,1336500,10.051406965665244,61.912200699791455,0.0,6
2019-09-26,115500,1336500,10.15392196305603,61.91084341347358,0.0,7
2019-09-26,88000,1342000,9.643527437849816,61.9652369748336,0.0,8
2019-09-26,93500,1342000,9.746211676993724,61.96414312400681,0.0,9
2019-09-26,99000,1342000,9.84888933277268,61.96298301071997,0.0,10
2019-09-26,104500,1342000,9.951560018849955,61.96175664053426,0.0,11
2019-09-26,110000,1342000,10.054223349046335,61.96046401932794,0.0,12
2019-09-26,115500,1342000,10.156878937348818,61.95910515329606,0.0,13
2019-09-26,99000,1347500,9.85143141029024,62.01123913436032,0.0,14
2019-09-26,104500,1347500,9.954243135444663,62.01001133557868,0.0,15
2019-09-27,99000,1325500,9.84130480426889,61.8181540769436,0.0,0
2019-09-27,104500,1331000,9.946215823184616,61.86521691470476,0.0,1
2019-09-27,110000,1331000,10.04859829242372,61.86392729619409,0.0,2
2019-09-27,115500,1331000,10.15097308316179,61.86257158655699,0.0,3
2019-09-27,93500,1336500,9.74381725071918,61.915875526948106,0.0,4
2019-09-27,104500,1336500,9.948884258163838,61.913491818206985,0.0,5
2019-09-27,110000,1336500,10.051406965665244,61.912200699791455,0.0,6
2019-09-27,115500,1336500,10.15392196305603,61.91084341347358,0.0,7
2019-09-27,88000,1342000,9.643527437849816,61.9652369748336,0.0,8
2019-09-27,93500,1342000,9.746211676993724,61.96414312400681,0.0,9
2019-09-27,99000,1342000,9.84888933277268,61.96298301071997,0.0,10
2019-09-27,104500,1342000,9.951560018849955,61.96175664053426,0.0,11
2019-09-27,110000,1342000,10.054223349046335,61.96046401932794,0.0,12
2019-09-27,115500,1342000,10.156878937348818,61.95910515329606,0.0,13
2019-09-27,99000,1347500,9.85143141029024,62.01123913436032,0.0,14
2019-09-27,104500,1347500,9.954243135444663,62.01001133557868,0.0,15
2019-09-28,99000,1325500,9.84130480426889,61.8181540769436,0.0,0
2019-09-28,104500,1331000,9.946215823184616,61.86521691470476,0.0,1
2019-09-28,110000,1331000,10.04859829242372,61.86392729619409,0.0,2
2019-09-28,115500,1331000,10.15097308316179,61.86257158655699,0.0,3
2019-09-28,93500,1336500,9.74381725071918,61.915875526948106,0.0,4
2019-09-28,104500,1336500,9.948884258163838,61.913491818206985,0.0,5
2019-09-28,110000,1336500,10.051406965665244,61.912200699791455,0.0,6
2019-09-28,115500,1336500,10.15392196305603,61.91084341347358,0.0,7
2019-09-28,88000,1342000,9.643527437849816,61.9652369748336,0.0,8
2019-09-28,93500,1342000,9.746211676993724,61.96414312400681,0.0,9
2019-09-28,99000,1342000,9.84888933277268,61.96298301071997,0.0,10
2019-09-28,104500,1342000,9.951560018849955,61.96175664053426,0.0,11
2019-09-28,110000,1342000,10.054223349046335,61.96046401932794,0.0,12
2019-09-28,115500,1342000,10.156878937348818,61.95910515329606,0.0,13
2019-09-28,99000,1347500,9.85143141029024,62.01123913436032,0.0,14
2019-09-28,104500,1347500,9.954243135444663,62.01001133557868,0.0,15
2019-09-29,99000,1325500,9.84130480426889,61.8181540769436,0.0,0
2019-09-29,104500,1331000,9.946215823184616,61.86521691470476,0.0,1
2019-09-29,110000,1331000,10.04859829242372,61.86392729619409,0.0,2
2019-09-29,115500,1331000,10.15097308316179,61.86257158655699,0.0,3
2019-09-29,93500,1336500,9.74381725071918,61.915875526948106,0.0,4
2019-09-29,104500,1336500,9.948884258163838,61.913491818206985,0.0,5
2019-09-29,110000,1336500,10.051406965665244,61.912200699791455,0.0,6
2019-09-29,115500,1336500,10.15392196305603,61.91084341347358,0.0,7
2019-09-29,88000,1342000,9.643527437849816,61.9652369748336,0.0,8
2019-09-29,93500,1342000,9.746211676993724,61.96414312400681,0.0,9
2019-09-29,99000,1342000,9.84888933277268,61.96298301071997,0.0,10
2019-09-29,104500,1342000,9.951560018849955,61.96175664053426,0.0,11
2019-09-29,110000,1342000,10.054223349046335,61.96046401932794,0.0,12
2019-09-29,115500,1342000,10.156878937348818,61.95910515329606,0.0,13
2019-09-29,99000,1347500,9.85143141029024,62.01123913436032,0.0,14
2019-09-29,104500,1347500,9.954243135444663,62.01001133557868,0.0,15
2019-09-30,99000,1325500,9.84130480426889,61.8181540769436,0.009166666,0
2019-09-30,104500,1331000,9.946215823184616,61.86521691470476,0.011666667,1
2019-09-30,110000,1331000,10.04859829242372,61.86392729619409,0.012083333,2
2019-09-30,115500,1331000,10.15097308316179,61.86257158655699,0.0112499995,3
2019-09-30,93500,1336500,9.74381725071918,61.915875526948106,0.0112499995,4
2019-09-30,104500,1336500,9.948884258163838,61.913491818206985,0.011666667,5
2019-09-30,110000,1336500,10.051406965665244,61.912200699791455,0.011666667,6
2019-09-30,115500,1336500,10.15392196305603,61.91084341347358,0.0112499995,7
2019-09-30,88000,1342000,9.643527437849816,61.9652369748336,0.013333333,8
2019-09-30,93500,1342000,9.746211676993724,61.96414312400681,0.013333333,9
2019-09-30,99000,1342000,9.84888933277268,61.96298301071997,0.013333333,10
2019-09-30,104500,1342000,9.951560018849955,61.96175664053426,0.012916666,11
2019-09-30,110000,1342000,10.054223349046335,61.96046401932794,0.014166667,12
2019-09-30,115500,1342000,10.156878937348818,61.95910515329606,0.012499999,13
2019-09-30,99000,1347500,9.85143141029024,62.01123913436032,0.012916666,14
2019-09-30,104500,1347500,9.954243135444663,62.01001133557868,0.012916666,15
2019-10-01,99000,1325500,9.84130480426889,61.8181540769436,0.07,0
2019-10-01,104500,1331000,9.946215823184616,61.86521691470476,0.09125,1
2019-10-01,110000,1331000,10.04859829242372,61.86392729619409,0.09,2
2019-10-01,115500,1331000,10.15097308316179,61.86257158655699,0.08,3
2019-10-01,93500,1336500,9.74381725071918,61.915875526948106,0.0925,4
2019-10-01,104500,1336500,9.948884258163838,61.913491818206985,0.09125,5
2019-10-01,110000,1336500,10.051406965665244,61.912200699791455,0.08375,6
2019-10-01,115500,1336500,10.15392196305603,61.91084341347358,0.08,7
2019-10-01,88000,1342000,9.643527437849816,61.9652369748336,0.109583326,8
2019-10-01,93500,1342000,9.746211676993724,61.96414312400681,0.10833333,9
2019-10-01,99000,1342000,9.84888933277268,61.96298301071997,0.102916665,10
2019-10-01,104500,1342000,9.951560018849955,61.96175664053426,0.09375,11
2019-10-01,110000,1342000,10.054223349046335,61.96046401932794,0.08958334,12
2019-10-01,115500,1342000,10.156878937348818,61.95910515329606,0.083333336,13
2019-10-01,99000,1347500,9.85143141029024,62.01123913436032,0.09916667,14
2019-10-01,104500,1347500,9.954243135444663,62.01001133557868,0.09375,15
2019-10-02,99000,1325500,9.84130480426889,61.8181540769436,0.088750005,0
2019-10-02,104500,1331000,9.946215823184616,61.86521691470476,0.114583336,1
2019-10-02,110000,1331000,10.04859829242372,61.86392729619409,0.114583336,2
2019-10-02,115500,1331000,10.15097308316179,61.86257158655699,0.105,3
2019-10-02,93500,1336500,9.74381725071918,61.915875526948106,0.114583336,4
2019-10-02,104500,1336500,9.948884258163838,61.913491818206985,0.114583336,5
2019-10-02,110000,1336500,10.051406965665244,61.912200699791455,0.109583326,6
2019-10-02,115500,1336500,10.15392196305603,61.91084341347358,0.105,7
2019-10-02,88000,1342000,9.643527437849816,61.9652369748336,0.12875,8
2019-10-02,93500,1342000,9.746211676993724,61.96414312400681,0.12791666,9
2019-10-02,99000,1342000,9.84888933277268,61.96298301071997,0.12583333,10
2019-10-02,104500,1342000,9.951560018849955,61.96175664053426,0.12416667,11
2019-10-02,110000,1342000,10.054223349046335,61.96046401932794,0.11708333,12
2019-10-02,115500,1342000,10.156878937348818,61.95910515329606,0.11083334,13
2019-10-02,99000,1347500,9.85143141029024,62.01123913436032,0.125,14
2019-10-02,104500,1347500,9.954243135444663,62.01001133557868,0.12416667,15
2019-10-03,99000,1325500,9.84130480426889,61.8181540769436,0.107499994,0
