time,x,y,statkraft_sde,unit
2015-02-02,104500,1331000,0.3713125907006236,1
2015-02-02,110000,1331000,0.20320438967043902,2
2015-02-02,115500,1331000,0.1837723347205061,3
2015-02-02,93500,1336500,2.3384108576587312,4
2015-02-02,104500,1336500,0.47359903392758146,5
2015-02-02,110000,1336500,0.19016623778208175,6
2015-02-02,115500,1336500,0.06474832530983564,7
2015-02-02,88000,1342000,1.8428755111803206,8
2015-02-02,93500,1342000,1.5473983962188231,9
2015-02-02,99000,1342000,0.8159984017186641,10
2015-02-02,104500,1342000,0.4448889851794776,11
2015-02-02,110000,1342000,0.045066695766102255,12
2015-02-02,115500,1342000,0.08399089591557234,13
2015-02-02,99000,1347500,0.4761965631926471,14
2015-02-02,104500,1347500,0.2736192785129757,15
2015-02-03,99000,1325500,1.9289658719453273,0
2015-02-03,104500,1331000,0.30772913436905397,1
2015-02-03,110000,1331000,0.1730145098787716,2
2015-02-03,115500,1331000,0.1539611183258298,3
2015-02-03,93500,1336500,2.1516602463218075,4
2015-02-03,104500,1336500,0.40532914551602844,5
2015-02-03,110000,1336500,0.1542523757015694,6
2015-02-03,115500,1336500,0.016427813827985686,7
2015-02-03,88000,1342000,1.6824632391684153,8
2015-02-03,93500,1342000,1.403710463241291,9
2015-02-03,99000,1342000,0.7340618580701199,10
2015-02-03,104500,1342000,0.3854859304955485,11
2015-02-03,110000,1342000,0.0,12
2015-02-03,115500,1342000,0.019376771914552553,13
2015-02-03,99000,1347500,0.43315905581255226,14
2015-02-03,104500,1347500,0.22212823469896276,15
2015-02-04,99000,1325500,2.0825149135796637,0
2015-02-04,104500,1331000,0.34415922020854245,1
2015-02-04,110000,1331000,0.1823086039710626,2
2015-02-04,115500,1331000,0.14527143205733567,3
2015-02-04,93500,1336500,2.273138189916792,4
2015-02-04,104500,1336500,0.4357386254171365,5
2015-02-04,110000,1336500,0.14380857319343476,6
2015-02-04,115500,1336500,0.0,7
2015-02-04,88000,1342000,1.7858732947649745,8
2015-02-04,93500,1342000,1.491658917853601,9
2015-02-04,99000,1342000,0.7722634858425995,10
2015-02-04,104500,1342000,0.3817268920565821,11
2015-02-04,110000,1342000,0.0,12
2015-02-04,115500,1342000,0.0,13
2015-02-04,99000,1347500,0.4286575658231815,14
2015-02-04,104500,1347500,0.19786331694638185,15
2015-02-05,99000,1325500,2.2106743295401428,0
2015-02-05,104500,1331000,0.37039208244589084,1
2015-02-05,110000,1331000,0.18728614766052998,2
2015-02-05,115500,1331000,0.13294761631994076,3
2015-02-05,93500,1336500,2.3727548205366884,4
2015-02-05,104500,1336500,0.46002671794193606,5
2015-02-05,110000,1336500,0.122547937296829,6
2015-02-05,115500,1336500,0.0,7
2015-02-05,88000,1342000,1.8814663957674735,8
